time,voltage
0.0,229.81
0.01,223.76
0.02,225.8
0.03,226.14
0.04,225.42
0.05,226.23
0.06,225.44
0.07,226.74
0.08,230.7
0.09,226.3
0.1,224.88
0.11,226.48
0.12,225.15
0.13,229.64
0.14,225.45
0.15,231.87
0.16,220.38
0.17,223.59
0.18,227.49
0.19,227.16
0.2,226.82
0.21,224.04
0.22,229.66
0.23,225.34
0.24,222.94
0.25,223.84
0.26,223.59
0.27,219.9
0.28,233.29
0.29,224.71
0.3,232.28
0.31,223.34
0.32,227.06
0.33,221.18
0.34,222.18
0.35,232.52
0.36,221.73
0.37,224.49
0.38,225.64
0.39,224.51
0.4,221.89
0.41,228.51
0.42,229.51
0.43,224.81
0.44,220.33
0.45,222.43
0.46,225.88
0.47,231.28
0.48,227.08
0.49,221.27
0.5,214.93
0.51,224.52
0.52,222.27
0.53,230.62
0.54,224.86
0.55,226.8
0.56,226.97
0.57,217.88
0.58,227.96
0.59,223.79
0.6,216.2
0.61,228.89
0.62,217.84
0.63,221.82
0.64,218.95
0.65,227.7
0.66,223.53
0.67,223.78
0.68,235.47
0.69,225.78
0.7,229.62
0.71,220.99
0.72,221.49
0.73,222.8
0.74,228.84
0.75,224.77
0.76,225.95
0.77,230.61
0.78,225.17
0.79,226.69
0.8,220.69
0.81,221.57
0.82,227.62
0.83,219.29
0.84,226.64
0.85,229.5
0.86,226.79
0.87,223.5
0.88,226.58
0.89,230.02
0.9,226.09
0.91,227.82
0.92,220.14
0.93,223.38
0.94,216.88
0.95,227.26
0.96,225.66
0.97,228.06
0.98,228.9
0.99,221.44
1.0,216.36
1.01,211.46
1.02,213.0
1.03,203.24
1.04,215.44
1.05,217.66
1.06,220.11
1.07,215.47
1.08,213.43
1.09,216.43
1.1,210.43
1.11,213.49
1.12,220.85
1.13,214.17
1.14,206.38
1.15,211.01
1.16,209.81
1.17,218.4
1.18,210.71
1.19,210.53
1.2,215.02
1.21,219.37
1.22,219.51
1.23,213.38
1.24,212.45
1.25,215.38
1.26,210.58
1.27,218.82
1.28,210.1
1.29,216.58
1.3,218.26
1.31,211.43
1.32,215.1
1.33,219.72
1.34,214.28
1.35,206.57
1.36,213.79
1.37,218.47
1.38,216.65
1.39,216.37
1.4,207.67
1.41,226.38
1.42,219.08
1.43,217.01
1.44,212.24
1.45,221.69
1.46,224.85
1.47,216.16
1.48,217.31
1.49,217.9
1.5,219.24
1.51,220.67
1.52,209.43
1.53,209.8
1.54,214.9
1.55,215.72
1.56,214.9
1.57,213.94
1.58,215.68
1.59,217.84
1.6,209.44
1.61,205.98
1.62,207.41
1.63,219.34
1.64,211.25
1.65,220.45
1.66,209.24
1.67,219.31
1.68,214.23
1.69,216.26
1.7,222.72
1.71,206.87
